failure_rate,baseline,metric,baseline_mean,hungarian_mean,mean_improvement,ci95_low,ci95_high,percent_reduction,wilcoxon_W,p_value,effect_dz,hungarian_wins,ties,hungarian_losses,holm_primary_p
0.0,manhattan_greedy,iterations,34.06666666666667,23.433333333333334,10.633333333333333,8.2,13.266666666666667,31.21330724070451,1.0,2.7998179191685326e-06,1.4800022046568675,28,1,1,2.2321136738999073e-05
0.0,manhattan_greedy,total_distance,490.1,196.76666666666668,293.3333333333333,257.03333333333336,331.03333333333336,59.8517309392641,0.0,1.732216233144114e-06,2.798769079484369,30,0,0,2.2321136738999073e-05
0.0,manhattan_greedy,runtime_seconds,0.21879951810115017,3.0899446219331974,-2.8711451038320472,-3.904947801799159,-2.252963578019056,-1312.226429358372,0.0,1.862645149230957e-09,-1.1575232660547763,0,0,30,
0.0,path_cost_greedy,iterations,33.266666666666666,23.433333333333334,9.833333333333334,7.366666666666666,12.366666666666667,29.55911823647294,1.5,4.364840552486913e-06,1.3537248203217447,27,2,1,2.2321136738999073e-05
0.0,path_cost_greedy,total_distance,478.46666666666664,196.76666666666668,281.7,246.63333333333333,318.43416666666667,58.87557475268217,0.0,1.862645149230957e-09,2.798388437967839,30,0,0,2.9802322387695312e-08
0.0,path_cost_greedy,runtime_seconds,3.5290513092666513,3.0899446219331974,0.43910668733345426,-0.10163683044475556,0.8680241087973264,12.442626894668237,44.0,2.6885420083999634e-05,0.3202172686878142,27,0,3,
0.2,manhattan_greedy,iterations,41.233333333333334,26.866666666666667,14.366666666666667,10.833333333333334,18.5,34.84236054971706,0.0,1.7170105183845441e-06,1.2860644188740826,30,0,0,2.2321136738999073e-05
0.2,manhattan_greedy,total_distance,491.03333333333336,216.53333333333333,274.5,232.66583333333332,323.36999999999995,55.90251849840472,0.0,1.862645149230957e-09,2.1021456849212563,30,0,0,2.9802322387695312e-08
0.2,manhattan_greedy,runtime_seconds,0.27480866379870955,4.128094166430916,-3.8532855026322066,-4.874138212643872,-3.1170843758930764,-1402.1703134711363,0.0,1.862645149230957e-09,-1.476803319299688,0,0,30,
0.2,path_cost_greedy,iterations,43.06666666666667,26.866666666666667,16.2,12.2,20.734166666666656,37.61609907120743,0.0,2.5355906526225674e-06,1.3371261752616384,29,1,0,2.2321136738999073e-05
0.2,path_cost_greedy,total_distance,510.93333333333334,216.53333333333333,294.4,249.89666666666668,346.83583333333326,57.62004175365344,0.0,1.732216233144114e-06,2.1406069389596123,30,0,0,2.2321136738999073e-05
0.2,path_cost_greedy,runtime_seconds,5.0379241331655065,4.128094166430916,0.9098299667345903,0.45547420081128326,1.4322941664923803,18.05962024606575,57.0,0.00012333691120147705,0.646824139813784,25,0,5,
0.4,manhattan_greedy,iterations,47.666666666666664,32.06666666666667,15.6,10.533333333333333,21.233333333333334,32.72727272727272,6.5,5.0133164751658944e-06,1.0195635388232336,26,1,3,2.2321136738999073e-05
0.4,manhattan_greedy,total_distance,445.76666666666665,227.76666666666668,218.0,172.4,268.335,48.90450908547072,0.0,1.7333066441991056e-06,1.6073372314683239,30,0,0,2.2321136738999073e-05
0.4,manhattan_greedy,runtime_seconds,0.12729679736803515,2.0457260560365587,-1.9184292586685237,-2.1080109175370914,-1.7508925083452294,-1507.052257663672,0.0,1.862645149230957e-09,-3.7334722621029357,0,0,30,
0.4,path_cost_greedy,iterations,49.3,32.06666666666667,17.233333333333334,12.866666666666667,22.233333333333334,34.95605138607166,1.0,1.8994464723455613e-06,1.291772191177178,29,0,1,2.2321136738999073e-05
0.4,path_cost_greedy,total_distance,459.5,227.76666666666668,231.73333333333332,191.965,276.83416666666665,50.4316285817918,0.0,1.7333066441991056e-06,1.92360849889026,30,0,0,2.2321136738999073e-05
0.4,path_cost_greedy,runtime_seconds,2.4866229438014367,2.0457260560365587,0.44089688776487806,0.29224097612887534,0.6059939076844967,17.730749604154088,18.0,4.7124922275543213e-07,0.9834627428135034,25,0,5,
0.6,manhattan_greedy,iterations,58.0,44.8,13.2,8.166666666666666,18.466666666666665,22.758620689655178,30.5,8.468247382218575e-05,0.891706611537666,24,2,4,8.468247382218575e-05
0.6,manhattan_greedy,total_distance,385.6666666666667,250.53333333333333,135.13333333333333,107.4325,163.23333333333332,35.03889369057909,0.0,1.862645149230957e-09,1.6864453499621985,30,0,0,2.9802322387695312e-08
0.6,manhattan_greedy,runtime_seconds,0.14450447876733957,2.848885238234652,-2.7043807594673126,-3.261024901432162,-2.2608766778749247,-1871.4857716081724,0.0,1.862645149230957e-09,-1.8972191089438732,0,0,30,
0.6,path_cost_greedy,iterations,59.4,44.8,14.6,10.133333333333333,19.133333333333333,24.57912457912458,9.0,1.5233819328633825e-05,1.13209851130986,26,3,1,3.046763865726765e-05
0.6,path_cost_greedy,total_distance,394.06666666666666,250.53333333333333,143.53333333333333,120.36666666666666,168.10083333333333,36.423616985281676,0.0,1.732216233144114e-06,2.1242647959075827,30,0,0,2.2321136738999073e-05
0.6,path_cost_greedy,runtime_seconds,3.172843680266912,2.848885238234652,0.32395844203225954,0.0706087581965403,0.6146825707898096,10.210349915663265,118.0,0.017453668639063835,0.42080016520347424,20,0,10,
